time	V(n002)
0.000000000000000e+00	0.000000e+00
1.562500018259527e-09	2.553829e-05
3.125000036519054e-09	4.839884e-05
6.250000073038109e-09	8.714856e-05
1.250000014607622e-08	1.451589e-04
2.500000029215244e-08	2.210542e-04
4.125261720607971e-08	2.898060e-04
1.512984085834735e-05	5.716305e-02
3.021842909948862e-05	1.140324e-01
4.530701734062989e-05	1.708979e-01
6.039560558177116e-05	2.277595e-01
7.548419382291243e-05	2.846172e-01
9.057278206405369e-05	3.414711e-01
1.056613703051949e-04	3.983211e-01
1.447238703051949e-04	5.454011e-01
1.618455948745849e-04	6.094896e-01
1.729617579349835e-04	6.505644e-01
1.836496852559703e-04	6.900471e-01
1.948026306107931e-04	7.317292e-01
2.107980336828137e-04	7.918847e-01
2.262637919621191e-04	8.501053e-01
2.571953085207300e-04	9.664646e-01
2.962578085207299e-04	1.113264e+00
3.743828085207299e-04	1.406294e+00
4.525078085207299e-04	1.698443e+00
5.696953085207300e-04	2.134653e+00
6.534006656635871e-04	2.444999e+00
7.371060228064444e-04	2.753120e+00
8.208113799493017e-04	3.059015e+00
9.045167370921589e-04	3.362684e+00
9.882220942350160e-04	3.664128e+00
1.071927451377873e-03	3.963347e+00
1.155632808520730e-03	4.260340e+00
1.261659594235016e-03	4.632602e+00
1.367686379949302e-03	4.998725e+00
1.473713165663588e-03	5.358711e+00
1.579739951377874e-03	5.712559e+00
1.685766737092160e-03	6.060269e+00
1.791793522806446e-03	6.401841e+00
1.897820308520731e-03	6.737275e+00
1.936882808520731e-03	6.858624e+00
1.975945308520731e-03	6.978399e+00
2.015007808520731e-03	7.089888e+00
2.054070308520731e-03	7.172297e+00
2.093132808520731e-03	7.220569e+00
2.132195308520731e-03	7.249958e+00
2.171257808520731e-03	7.270054e+00
2.210320308520731e-03	7.285269e+00
2.254963165663588e-03	7.297433e+00
2.299606022806446e-03	7.308317e+00
2.344248879949303e-03	7.317923e+00
2.388891737092160e-03	7.326250e+00
2.433534594235017e-03	7.333299e+00
2.478177451377874e-03	7.339068e+00
2.522820308520731e-03	7.343559e+00
2.679070308520732e-03	7.356755e+00
2.835320308520732e-03	7.368278e+00
2.991570308520732e-03	7.378126e+00
3.147820308520732e-03	7.386300e+00
3.304070308520732e-03	7.392800e+00
3.460320308520733e-03	7.397626e+00
3.616570308520732e-03	7.400778e+00
4.051838165663590e-03	7.409190e+00
4.487106022806447e-03	7.414413e+00
4.922373879949305e-03	7.416447e+00
5.357641737092163e-03	7.415291e+00
5.792909594235020e-03	7.410946e+00
6.228177451377877e-03	7.403412e+00
6.663445308520735e-03	7.392689e+00
6.791793522806449e-03	7.389117e+00
6.920141737092164e-03	7.383897e+00
7.048489951377878e-03	7.377030e+00
7.176838165663593e-03	7.368515e+00
7.305186379949306e-03	7.358352e+00
7.433534594235021e-03	7.346542e+00
7.561882808520735e-03	7.333084e+00
7.595364951377879e-03	7.328739e+00
7.628847094235021e-03	7.323450e+00
7.662329237092164e-03	7.317219e+00
7.695811379949307e-03	7.310044e+00
7.729293522806450e-03	7.301926e+00
7.762775665663593e-03	7.292865e+00
7.796257808520736e-03	7.282860e+00
7.835320308520735e-03	7.267210e+00
7.874382808520734e-03	7.245848e+00
7.913445308520733e-03	7.214220e+00
7.952507808520732e-03	7.161419e+00
7.991570308520731e-03	7.072791e+00
8.030632808520731e-03	6.959198e+00
8.069695308520730e-03	6.839281e+00
8.108757808520729e-03	6.717804e+00
8.147820308520728e-03	6.595291e+00
8.186882808520727e-03	6.471779e+00
8.225945308520726e-03	6.347300e+00
8.265007808520726e-03	6.221861e+00
8.304070308520725e-03	6.095493e+00
8.343132808520724e-03	5.968204e+00
8.382195308520723e-03	5.840023e+00
8.421257808520722e-03	5.710959e+00
8.460320308520721e-03	5.581044e+00
8.499382808520721e-03	5.450284e+00
8.538445308520720e-03	5.318711e+00
8.577507808520719e-03	5.186333e+00
8.616570308520718e-03	5.053183e+00
8.655632808520717e-03	4.919266e+00
8.694695308520716e-03	4.784616e+00
8.733757808520716e-03	4.649240e+00
8.772820308520715e-03	4.513172e+00
8.811882808520714e-03	4.376418e+00
8.850945308520713e-03	4.239011e+00
8.890007808520712e-03	4.100959e+00
8.929070308520711e-03	3.962296e+00
9.007195308520710e-03	3.683191e+00
9.085320308520708e-03	3.401864e+00
9.163445308520706e-03	3.118482e+00
9.280632808520704e-03	2.689930e+00
9.319695308520703e-03	2.546242e+00
9.403400665663558e-03	2.236523e+00
9.487106022806413e-03	1.925796e+00
9.570811379949268e-03	1.614061e+00
9.654516737092125e-03	1.301318e+00
9.738222094234980e-03	9.875673e-01
9.821927451377836e-03	6.728086e-01
9.905632808520691e-03	3.570420e-01
9.955856022806403e-03	1.676597e-01
1.000607923709212e-02	-2.164469e-02
1.005630245137783e-02	-2.108712e-01
1.010652566566354e-02	-4.000199e-01
1.015674887994926e-02	-5.890907e-01
1.020697209423497e-02	-7.780836e-01
1.025719530852068e-02	-9.669986e-01
1.037438280852068e-02	-1.406497e+00
1.045250780852068e-02	-1.698459e+00
