V1	I(D1)
-2.000000000000000e+00	-9.199308e-11
-1.900000000000000e+00	-9.189316e-11
-1.800000000000000e+00	-9.179324e-11
-1.700000000000000e+00	-9.169332e-11
-1.600000000000000e+00	-9.159340e-11
-1.500000000000000e+00	-9.149348e-11
-1.400000000000000e+00	-9.139356e-11
-1.300000000000000e+00	-9.129364e-11
-1.200000000000000e+00	-9.119372e-11
-1.100000000000000e+00	-9.109380e-11
-1.000000000000000e+00	-9.099665e-11
-8.999999999999999e-01	-9.089673e-11
-7.999999999999998e-01	-9.079681e-11
-7.000000000000000e-01	-9.069689e-11
-5.999999999999999e-01	-9.060253e-11
-5.000000000000000e-01	-9.049983e-11
-3.999999999999999e-01	-9.039852e-11
-2.999999999999998e-01	-9.027779e-11
-2.000000000000000e-01	-8.984063e-11
-9.999999999999987e-02	-8.441338e-11
0.000000000000000e+00	0.000000e+00
1.000000000000001e-01	1.334306e-09
2.000000000000002e-01	2.243526e-08
3.000000000000003e-01	3.531179e-07
4.000000000000004e-01	4.926428e-06
5.000000000000000e-01	3.447394e-05
6.000000000000001e-01	9.699905e-05
7.000000000000002e-01	1.754482e-04
8.000000000000003e-01	2.611385e-04
9.000000000000004e-01	3.503212e-04
1.000000000000000e+00	4.419912e-04
1.100000000000000e+00	5.351230e-04
1.200000000000000e+00	6.292668e-04
1.300000000000000e+00	7.241819e-04
1.400000000000000e+00	8.196952e-04
1.500000000000000e+00	9.156833e-04
1.600000000000000e+00	1.012057e-03
1.700000000000000e+00	1.108750e-03
1.800000000000000e+00	1.205710e-03
1.900000000000000e+00	1.302900e-03
2.000000000000000e+00	1.400286e-03
2.100000000000001e+00	1.497843e-03
2.200000000000000e+00	1.595551e-03
2.300000000000000e+00	1.693392e-03
2.400000000000000e+00	1.791352e-03
2.500000000000000e+00	1.889418e-03
2.600000000000001e+00	1.987580e-03
2.700000000000000e+00	2.085829e-03
2.800000000000001e+00	2.184157e-03
2.900000000000000e+00	2.282557e-03
3.000000000000000e+00	2.381024e-03
3.100000000000001e+00	2.479552e-03
3.200000000000000e+00	2.578136e-03
3.300000000000001e+00	2.676773e-03
3.400000000000000e+00	2.775458e-03
3.500000000000000e+00	2.874188e-03
3.600000000000001e+00	2.972961e-03
3.700000000000000e+00	3.071773e-03
3.800000000000001e+00	3.170622e-03
3.900000000000000e+00	3.269506e-03
4.000000000000000e+00	3.368423e-03
4.100000000000001e+00	3.467370e-03
4.200000000000000e+00	3.566347e-03
4.300000000000001e+00	3.665352e-03
4.400000000000000e+00	3.764382e-03
4.500000000000000e+00	3.863438e-03
4.600000000000001e+00	3.962517e-03
4.700000000000000e+00	4.061618e-03
4.800000000000001e+00	4.160741e-03
4.900000000000000e+00	4.259885e-03
5.000000000000000e+00	4.359047e-03
5.100000000000001e+00	4.458229e-03
5.200000000000000e+00	4.557428e-03
5.300000000000001e+00	4.656644e-03
5.400000000000000e+00	4.755876e-03
5.500000000000000e+00	4.855125e-03
5.600000000000001e+00	4.954388e-03
5.700000000000000e+00	5.053665e-03
5.800000000000001e+00	5.152957e-03
5.900000000000000e+00	5.252262e-03
6.000000000000000e+00	5.351579e-03
6.100000000000000e+00	5.450909e-03
6.200000000000001e+00	5.550252e-03
6.300000000000001e+00	5.649605e-03
6.400000000000000e+00	5.748970e-03
6.500000000000000e+00	5.848345e-03
6.600000000000000e+00	5.947731e-03
6.700000000000001e+00	6.047127e-03
6.800000000000001e+00	6.146532e-03
6.900000000000000e+00	6.245947e-03
7.000000000000000e+00	6.345372e-03
7.100000000000000e+00	6.444805e-03
7.200000000000001e+00	6.544246e-03
7.300000000000001e+00	6.643696e-03
7.400000000000000e+00	6.743154e-03
7.500000000000000e+00	6.842620e-03
7.600000000000001e+00	6.942093e-03
7.700000000000001e+00	7.041574e-03
7.800000000000001e+00	7.141062e-03
7.900000000000000e+00	7.240557e-03
8.000000000000000e+00	7.340059e-03
8.100000000000001e+00	7.439567e-03
8.200000000000001e+00	7.539082e-03
8.300000000000001e+00	7.638603e-03
8.400000000000000e+00	7.738131e-03
8.500000000000000e+00	7.837663e-03
8.600000000000001e+00	7.937203e-03
8.700000000000001e+00	8.036748e-03
8.800000000000001e+00	8.136298e-03
8.900000000000000e+00	8.235853e-03
9.000000000000000e+00	8.335414e-03
9.100000000000001e+00	8.434980e-03
9.200000000000001e+00	8.534552e-03
9.300000000000001e+00	8.634128e-03
9.400000000000000e+00	8.733708e-03
9.500000000000000e+00	8.833294e-03
9.600000000000001e+00	8.932884e-03
9.700000000000001e+00	9.032479e-03
9.800000000000001e+00	9.132077e-03
9.900000000000000e+00	9.231680e-03
1.000000000000000e+01	9.331288e-03
